term,component_1,component_2
meeting,-0.17222339326236313,-0.026533109475221996
highlighted,-0.17199007935585262,-0.04491514069551256
influencing,-0.1718458814878308,-0.02966872350929805
efforts,-0.17158788041832154,-0.05150763860453224
relevance,-0.17046551306744534,-0.09218316509666502
fact,-0.1693619850586449,0.03034563791159593
music,-0.16886001466087297,-0.09720639176800644
firms,-0.16880916000218138,-0.19200748980712642
scientific,-0.16864087215804632,-0.04170744788062241
online,-0.16862672806686752,-0.18110704973298605
makers,-0.16827218593058374,-0.0986898365807754
reports,-0.16789597467025694,0.0021202200172455517
special,-0.16782885188987265,-0.029747852153366516
everyday,-0.16778153643817462,-0.1291995726308625
home,-0.16743682943152055,-0.034310626021415346
data obtained,-0.16742763288754087,0.10985618262434556
consensus,-0.1670333973871711,0.05885513169709089
meaningful,-0.1665783371866131,-0.13113221145104675
sentence,-0.16647413029823085,-0.007802159816868376
pdf,-0.1663897174289959,-0.1239659436349258
reviews,-0.16637531221138616,-0.10039433684303672
cognitive,-0.16599607223528673,-0.061537187598189685
economic,-0.16488004561791775,-0.022592024716471232
analyse,-0.16444996228080244,-0.015475542323678405
life,-0.16398442334141922,0.03975570289184764
patient,-0.16328310714504587,0.24803472349078157
satisfaction,-0.16206418008936568,-0.17549480716124471
attempt,-0.16081204904957636,-0.0010872472299651979
directed,-0.16021440314223487,0.01037757249687965
working,-0.16020300520604316,-0.027530833752626407
plan,-0.15964557514899683,-0.03684236548603522
characters,-0.15960431134007538,0.04948509968407861
existence,-0.15953702624527713,0.09359729173260092
share,-0.15942180417929103,-0.09950620604388358
collaboration,-0.15933457913399585,-0.2710808086408107
analysis results,-0.15927917113291717,0.0958524362602128
valid,-0.15907494050843027,0.015723830191091276
needs,-0.15876975116835368,-0.14220495476517916
later,-0.15819202365878876,0.15125892128833393
attempts,-0.15783172832632164,-0.022365533079597356
plans,-0.15645837372234314,-0.05801330858468804
years,-0.15619544581329184,0.16146864308351597
mediated,-0.15580526237625478,0.12372000102471177
sports,-0.1557055351555673,0.01389851217165175
understanding,-0.1556633668328831,-0.0698440038364549
broader,-0.15532610139967334,-0.15019506066757995
